DATA,,,,,
token_name,Lido Finance,,,,
token_symbol,LDO,,,,
start_date,44201,,,,
total_supply,1000000000,,,,
emission_schedule,30D,,,,
DISTRIBUTION,,,,,
entity,DAO Treasury,Investors,Validators,Initial Lido Developers,Founders & Future Employers
type,amount,amount,amount,amount,amount
group,foundation,investors,Validators,team_advisers,team_advisers
emission,unlock,unlock,rewards,unlock,unlock
allocation,363200000,221800000,65000000,200000000,150000000
t000,363200000,0,0,0,0
t001,363200000,0,0,0,0
t002,363200000,0,0,0,0
t003,363200000,0,0,0,0
t004,363200000,0,0,0,0
t005,363200000,0,0,0,0
t006,363200000,0,0,0,0
t007,363200000,0,0,0,0
t008,363200000,0,0,0,0
t009,363200000,0,0,0,0
t010,363200000,0,0,0,0
t011,363200000,0,0,0,0
t012,363200000,0,0,0,0
t013,363200000,18483333.33,5416666.667,16666666.67,12500000
t014,363200000,36966666.67,10833333.33,33333333.33,25000000
t015,363200000,55450000,16250000,50000000,37500000
t016,363200000,73933333.33,21666666.67,66666666.67,50000000
t017,363200000,92416666.67,27083333.33,83333333.33,62500000
t018,363200000,110900000,32500000,100000000,75000000
t019,363200000,129383333.3,37916666.67,116666666.7,87500000
t020,363200000,147866666.7,43333333.33,133333333.3,100000000
t021,363200000,166350000,48750000,150000000,112500000
t022,363200000,184833333.3,54166666.67,166666666.7,125000000
t023,363200000,203316666.7,59583333.33,183333333.3,137500000
t024,363200000,221800000,65000000,200000000,150000000