DATA,,,,,,,
key,data,,,,,,
token_name,Serum,,,,,,
token_symbol,SRM,,,,,,
start_date,01/08/20,,,,,,
start_tokens,10000000000,,,,,,
emission_schedule,30D,,,,,,
emission_type,unlock,,,,,,
emission_incentive,,,,,,,
DISTRIBUTION,,,,,,,
entity,Team and Advisors,Seed and Auction Investors,IEO,Ecosystem Incentive Fund,Liquidity Provisioning,Partner and Collaborator Fund,Project Contributors
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,team_advisors,investor,public,ecosystem,ecosystem,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,4,0.06,25.25,1.69,27,22
t000,0,0,0.06,8.25,0.44,0,0
t001,0,0,0.06,8.25,0.44,0,0
t002,0,0,0.06,8.25,0.44,0,0
t003,0,0,0.06,8.25,0.44,0,0
t004,0,0,0.06,8.25,0.44,0,0
t005,0,0,0.06,8.25,0.44,0,0
t006,0,0,0.06,8.25,0.44,0,0
t007,0,0,0.06,8.25,0.44,0,0
t008,0,0,0.06,8.25,0.44,0,0
t009,0,0,0.06,8.25,0.44,0,0
t010,0,0,0.06,8.25,0.44,0,0
t011,0,0,0.06,8.25,0.44,0,0
t012,0,0,0.06,8.25,0.44,0,0
t013,0.277777777777778,0.0555555555555556,0.06,8.48611111111111,0.457361111111111,0.375,0.305555555555556
t014,0.555555555555556,0.111111111111111,0.06,8.72222222222222,0.474722222222222,0.75,0.611111111111111
t015,0.833333333333333,0.166666666666667,0.06,8.95833333333333,0.492083333333333,1.125,0.916666666666667
t016,1.11111111111111,0.222222222222222,0.06,9.19444444444444,0.509444444444444,1.5,1.22222222222222
t017,1.38888888888889,0.277777777777778,0.06,9.43055555555555,0.526805555555556,1.875,1.52777777777778
t018,1.66666666666667,0.333333333333333,0.06,9.66666666666666,0.544166666666667,2.25,1.83333333333333
t019,1.94444444444444,0.388888888888889,0.06,9.90277777777778,0.561527777777778,2.625,2.13888888888889
t020,2.22222222222222,0.444444444444444,0.06,10.1388888888889,0.578888888888889,3,2.44444444444444
t021,2.5,0.5,0.06,10.375,0.59625,3.375,2.75
t022,2.77777777777778,0.555555555555556,0.06,10.6111111111111,0.613611111111111,3.75,3.05555555555556
t023,3.05555555555555,0.611111111111111,0.06,10.8472222222222,0.630972222222223,4.125,3.36111111111111
t024,3.33333333333333,0.666666666666667,0.06,11.0833333333333,0.648333333333334,4.5,3.66666666666667
t025,3.61111111111111,0.722222222222222,0.06,11.3194444444444,0.665694444444445,4.875,3.97222222222222
t026,3.88888888888889,0.777777777777778,0.06,11.5555555555556,0.683055555555556,5.25,4.27777777777778
t027,4.16666666666667,0.833333333333334,0.06,11.7916666666667,0.700416666666667,5.625,4.58333333333333
t028,4.44444444444444,0.888888888888889,0.06,12.0277777777778,0.717777777777778,6,4.88888888888889
t029,4.72222222222222,0.944444444444445,0.06,12.2638888888889,0.73513888888889,6.375,5.19444444444444
t030,5,1,0.06,12.5,0.752500000000001,6.75,5.5
t031,5.27777777777778,1.05555555555556,0.06,12.7361111111111,0.769861111111112,7.125,5.80555555555555
t032,5.55555555555555,1.11111111111111,0.06,12.9722222222222,0.787222222222223,7.5,6.11111111111111
t033,5.83333333333333,1.16666666666667,0.06,13.2083333333333,0.804583333333334,7.875,6.41666666666666
t034,6.11111111111111,1.22222222222222,0.06,13.4444444444444,0.821944444444445,8.25,6.72222222222222
t035,6.38888888888889,1.27777777777778,0.06,13.6805555555555,0.839305555555556,8.625,7.02777777777778
t036,6.66666666666667,1.33333333333333,0.06,13.9166666666667,0.856666666666668,9,7.33333333333333
t037,6.94444444444444,1.38888888888889,0.06,14.1527777777778,0.874027777777779,9.375,7.63888888888889
t038,7.22222222222222,1.44444444444444,0.06,14.3888888888889,0.89138888888889,9.75,7.94444444444444
t039,7.5,1.5,0.06,14.625,0.908750000000001,10.125,8.25
t040,7.77777777777778,1.55555555555556,0.06,14.8611111111111,0.926111111111112,10.5,8.55555555555555
t041,8.05555555555555,1.61111111111111,0.06,15.0972222222222,0.943472222222223,10.875,8.86111111111111
t042,8.33333333333333,1.66666666666667,0.06,15.3333333333333,0.960833333333335,11.25,9.16666666666666
t043,8.61111111111111,1.72222222222222,0.06,15.5694444444444,0.978194444444446,11.625,9.47222222222222
t044,8.88888888888889,1.77777777777778,0.06,15.8055555555555,0.995555555555557,12,9.77777777777777
t045,9.16666666666667,1.83333333333333,0.06,16.0416666666667,1.01291666666667,12.375,10.0833333333333
t046,9.44444444444445,1.88888888888889,0.06,16.2777777777778,1.03027777777778,12.75,10.3888888888889
t047,9.72222222222223,1.94444444444445,0.06,16.5138888888889,1.04763888888889,13.125,10.6944444444444
t048,10,2,0.06,16.75,1.065,13.5,11
t049,10.2777777777778,2.05555555555556,0.06,16.9861111111111,1.08236111111111,13.875,11.3055555555556
t050,10.5555555555556,2.11111111111111,0.06,17.2222222222222,1.09972222222222,14.25,11.6111111111111
t051,10.8333333333333,2.16666666666667,0.06,17.4583333333333,1.11708333333334,14.625,11.9166666666667
t052,11.1111111111111,2.22222222222222,0.06,17.6944444444444,1.13444444444445,15,12.2222222222222
t053,11.3888888888889,2.27777777777778,0.06,17.9305555555555,1.15180555555556,15.375,12.5277777777778
t054,11.6666666666667,2.33333333333333,0.06,18.1666666666667,1.16916666666667,15.75,12.8333333333333
t055,11.9444444444445,2.38888888888889,0.06,18.4027777777778,1.18652777777778,16.125,13.1388888888889
t056,12.2222222222222,2.44444444444444,0.06,18.6388888888889,1.20388888888889,16.5,13.4444444444444
t057,12.5,2.5,0.06,18.875,1.22125,16.875,13.75
t058,12.7777777777778,2.55555555555555,0.06,19.1111111111111,1.23861111111111,17.25,14.0555555555555
t059,13.0555555555556,2.61111111111111,0.06,19.3472222222222,1.25597222222222,17.625,14.3611111111111
t060,13.3333333333333,2.66666666666666,0.06,19.5833333333333,1.27333333333334,18,14.6666666666667
t061,13.6111111111111,2.72222222222222,0.06,19.8194444444444,1.29069444444445,18.375,14.9722222222222
t062,13.8888888888889,2.77777777777778,0.06,20.0555555555555,1.30805555555556,18.75,15.2777777777778
t063,14.1666666666667,2.83333333333333,0.06,20.2916666666666,1.32541666666667,19.125,15.5833333333333
t064,14.4444444444445,2.88888888888889,0.06,20.5277777777778,1.34277777777778,19.5,15.8888888888889
t065,14.7222222222222,2.94444444444444,0.06,20.7638888888889,1.36013888888889,19.875,16.1944444444444
t066,15,3,0.06,21,1.3775,20.25,16.5
t067,15.2777777777778,3.05555555555555,0.06,21.2361111111111,1.39486111111111,20.625,16.8055555555555
t068,15.5555555555556,3.11111111111111,0.06,21.4722222222222,1.41222222222222,21,17.1111111111111
t069,15.8333333333334,3.16666666666666,0.06,21.7083333333333,1.42958333333334,21.375,17.4166666666667
t070,16.1111111111111,3.22222222222222,0.06,21.9444444444444,1.44694444444445,21.75,17.7222222222222
t071,16.3888888888889,3.27777777777777,0.06,22.1805555555555,1.46430555555556,22.125,18.0277777777778
t072,16.6666666666667,3.33333333333333,0.06,22.4166666666666,1.48166666666667,22.5,18.3333333333333
t073,16.9444444444445,3.38888888888888,0.06,22.6527777777778,1.49902777777778,22.875,18.6388888888889
t074,17.2222222222222,3.44444444444444,0.06,22.8888888888889,1.51638888888889,23.25,18.9444444444445
t075,17.5,3.5,0.06,23.125,1.53375,23.625,19.25
t076,17.7777777777778,3.55555555555555,0.06,23.3611111111111,1.55111111111111,24,19.5555555555556
t077,18.0555555555556,3.61111111111111,0.06,23.5972222222222,1.56847222222223,24.375,19.8611111111111
t078,18.3333333333334,3.66666666666666,0.06,23.8333333333333,1.58583333333334,24.75,20.1666666666667
t079,18.6111111111111,3.72222222222222,0.06,24.0694444444444,1.60319444444445,25.125,20.4722222222222
t080,18.8888888888889,3.77777777777777,0.06,24.3055555555555,1.62055555555556,25.5,20.7777777777778
t081,19.1666666666667,3.83333333333333,0.06,24.5416666666666,1.63791666666667,25.875,21.0833333333334
t082,19.4444444444445,3.88888888888888,0.06,24.7777777777778,1.65527777777778,26.25,21.3888888888889
t083,19.7222222222223,3.94444444444444,0.06,25.0138888888889,1.67263888888889,26.625,21.6944444444445
t084,20,4,0.06,25.25,1.69,27,22
